age,income,income_group,employment_years,savings_ratio,expense_ratio,transaction_frequency,income_stability_score,payment_consistency,eligibility
59,48712.45571962958,Low,29,0.02451261296409245,0.4096204070377365,26,1.0,0.923601135615394,1
49,58578.147486254704,Medium,26,0.39080127394628744,0.95,37,0.5618182093089314,0.7202624434386921,1
35,72648.84932735695,High,6,0.19810275793852164,0.7476622077060159,30,0.7068676445423732,0.8482281359402526,0
28,65799.04881499698,Medium,26,0.06764375753399385,0.9144256201759108,28,0.8596865130113912,0.8908080985918825,1
41,64045.78112772578,Medium,24,0.04576546052439399,0.949661989912335,37,0.7222734049306911,0.8899236242899321,1
59,55175.94500399708,Medium,23,0.38665229829124675,0.8988510752502399,28,0.5839517689187297,0.9115548144841022,0
39,58523.08145670901,Medium,13,0.14922731534315734,0.7692115298552916,38,0.929867161905322,0.914446677446126,0
43,75931.51015058003,High,8,0.023030823170700532,0.816651038879402,28,1.0,0.9334988841348242,1
31,20000.0,Low,14,0.04629803529766841,0.7268722145984976,32,0.5147633224943353,0.8426264417409542,0
31,59772.19183042537,Medium,24,0.2930515136200294,0.7681044844557613,30,0.5567919741165374,0.584455939064687,0
44,65759.7518985465,Medium,21,0.2816528040345826,0.7135373277652257,25,0.762972452571167,0.7390873575526827,1
56,75671.66137094586,High,17,0.14196140656936101,0.7989217979383005,32,0.9471434068438545,0.6735674737179156,1
44,39799.08121432351,Low,11,0.2439849353308751,0.8635968335683002,27,0.7037463121501663,0.7200359484440515,0
23,38741.80635093762,Low,22,0.1089429619316316,0.95,32,0.38077651748536234,0.9277897652555135,0
42,71679.09989756267,High,18,0.12706216221628022,0.743898583574889,31,0.5781823225039038,0.8401607147804258,1
22,21910.95519486168,Low,12,0.3328040332627874,0.7808717543091737,25,0.6739054897266497,0.816969428874806,1
44,86643.7822152157,High,6,0.40124544697552966,0.7568165641553475,27,0.9023225980585823,0.8746458259151755,1
50,64531.83982985621,Medium,24,0.05185360604843993,0.9262744693799047,31,0.9069937945563444,0.9474574441645737,0
58,91174.42425686873,High,9,0.1888971890397075,0.6226920108713432,33,0.9177886728521575,0.8069789637716615,1
22,38258.55246860974,Low,29,0.31754616195908436,0.4678498423358541,21,0.40463479914896144,0.9101896688305882,1
41,51272.81062563519,Low,9,0.26136443879348864,0.7962536648813102,30,0.7824723515515778,0.7348572630383177,1
53,20000.0,Low,1,0.49365500181289995,0.7441365642833788,28,0.6178031784282247,0.9734460183266052,1
32,44086.20474009448,Low,13,0.2696423037124961,0.582697936068864,37,0.5635529990114585,0.6505192893264471,0
42,56323.062385562414,Medium,12,0.3293878615891453,0.8419705724699991,32,0.9356491510809024,0.5818199408987444,0
45,20745.848399831266,Low,21,0.05422413301994445,0.8542245738604308,25,0.571608558095797,0.8813106892362376,1
47,52107.46375603201,Medium,28,0.46445420118647096,0.5425537302507502,32,0.4798678454653549,0.8750304558691872,1
48,20253.196462795117,Low,5,0.048787372379458085,0.5539877809584433,25,0.8072700685449019,0.6253113620666503,0
36,54850.796301771494,Medium,8,0.3204814257588242,0.5706922267919811,29,0.4497063863288101,0.9291965034897708,1
35,82942.23854216473,High,12,0.1412966086205871,0.7286981901295592,29,0.5886595838858135,0.9584962426459583,1
23,59300.404997717545,Medium,8,0.17864310113233725,0.5197506862788674,20,0.6704152751373302,0.735977687859419,0
57,93164.14745223607,High,12,0.2987418159673833,0.7307369056507724,28,0.49233526831494967,0.888165168463851,1
27,75725.8512678922,High,4,0.28654720224000296,0.8713782645510912,36,0.5768538494067018,0.9009949592456352,1
41,86962.95697213942,High,13,0.13063156987099125,0.7183774257014874,27,0.836090341633463,0.8183871964232531,0
29,44701.09518243433,Low,4,0.18445895721872752,0.795441698663105,26,0.7348850040697571,0.8456341246302542,0
59,44217.16743214795,Low,8,0.2672747045422059,0.6399185302007185,32,0.9352132118202378,0.7152388688356917,1
38,66912.26832770737,Medium,7,0.09500951064678768,0.8412839633635153,28,0.46553570540290506,0.5977410553478623,0
24,28445.95816734282,Low,6,0.22011488870915316,0.5213881770959425,28,0.9331493381179394,0.9131408429079094,0
45,69422.87499524181,High,7,0.2824939774803621,0.886037032665752,34,0.42235623960896196,0.740230719054776,0
34,53521.603669061406,Medium,21,0.4545750142433812,0.6885227763984443,32,0.8739154470810769,0.9876047508280598,1
29,86599.93675093315,High,2,0.21895859739306778,0.7751638395850697,35,0.5314270273251847,0.5275722782215226,0
46,73590.24508158822,High,22,0.49530211496337645,0.3994241581162858,30,1.0,0.8463234856858407,1
22,81934.12860680254,High,23,0.1673493609016737,0.5806071445332068,22,0.41102579942010126,0.6752960529078631,1
40,44915.878372099054,Low,14,0.3078212458075063,0.7001608094791817,32,0.751085157707571,0.7310219526457259,1
48,80964.20537523457,High,7,0.4332302464679979,0.8731493618500045,28,0.38994184041293756,0.5254288349288623,1
27,88894.24988728565,High,0,0.3563554431828568,0.6068189163707411,25,0.9041219633525351,0.9595607515856229,1
28,59225.72353239318,Medium,6,0.5783526960105394,0.4622636457420799,28,0.3828439574858899,0.6580013918729745,0
55,45212.98761267024,Low,18,0.07212981885428743,0.5247600634874106,33,0.854221155258536,0.9180858272048499,1
34,45564.25597531181,Low,1,0.36921634572519385,0.4900847275771137,40,0.9115310657185349,0.9529489407111684,0
37,84780.2598403193,High,13,0.3015288307786628,0.95,26,1.0,0.8887611910018233,1
56,113686.91484846623,High,17,0.5751924415073361,0.9279251108019116,20,0.6652786080018975,0.8904048751691501,1
24,40367.09859649556,Low,29,0.40671497498789083,0.9349856721805287,30,0.7201336585080956,0.8452496669980594,0
22,38829.598999148795,Low,14,0.681169951501282,0.9360560282596836,35,0.8522995560562631,0.9429506265162976,0
26,78428.28361348958,High,13,0.3879630046575303,0.39263239882710693,27,0.9529420646582991,0.7364296759159743,1
24,44921.72941266711,Low,23,0.042488075760849585,0.699005018175738,30,0.8929121741071551,0.8070563460346611,0
49,80367.10768456539,High,24,0.2921631217137251,0.46722441453831154,38,0.9738283094430915,0.5674699606206808,1
38,69306.92347053291,High,18,0.644618437342801,0.8742837204870151,31,0.9976573924338535,0.776690106564184,0
46,59520.45395004072,Medium,29,0.30869490858165455,0.5641254337684178,32,0.8147435666778503,0.8502441510996855,1
54,68825.43069043376,High,18,0.11679975182672252,0.9093682782224647,34,0.4906095531657281,0.7558483266908734,1
30,67603.96738306788,Medium,21,0.17672722746777916,0.38942391503710344,20,0.9510406467975921,0.9295692114599091,1
56,56407.87004427649,Medium,26,0.3375983695019882,0.6187266857318241,31,0.6807088727461355,0.7561736244348768,0
34,24872.779367230112,Low,25,0.016504197875870465,0.3008591806292372,39,0.3603242831814599,0.8694724201036654,0
51,63573.014571780695,Medium,16,0.5084515871245375,0.52583007707684,33,0.8018302257712676,0.8109915632691029,1
35,91461.20732128329,High,21,0.0760263885595698,0.5825594520193385,28,0.900691062165017,0.9282970020819534,0
28,27824.62673590953,Low,27,0.09167298911922817,0.6195324110849819,35,0.6483249049713505,0.6667507258115599,0
34,40684.29959722111,Low,18,0.31402641893096345,0.8368767142940287,25,0.6953525238396062,0.905255858453691,1
43,68536.53949532022,Medium,26,0.4030517502383859,0.7821894239560785,20,0.7535211832277803,0.9266214689584835,0
41,60771.83725464561,Medium,15,0.6630760232474224,0.5483036648099249,27,0.5375210828243788,0.8531977194513122,1
36,68223.64319168578,Medium,19,0.18065205048924737,0.3609268498513766,34,0.6300123149912364,0.6164580773071736,1
38,46013.63584344676,Low,24,0.4168711362171337,0.519444098121816,25,0.9108338244973863,0.6537159491925731,0
44,83249.16573184612,High,18,0.14052172543504612,0.7550948099439944,27,0.4041875872896332,0.9558826003123662,1
46,60938.01131380422,Medium,0,0.35869226284331696,0.24591510426419577,35,0.7507671324922753,0.8185704590617633,1
45,73939.71044686114,High,18,0.5722843988084857,0.6991935441717089,34,0.3961869847457935,0.5259466637142688,0
49,66405.54821942192,Medium,6,0.38820994385414953,0.6391907636357546,41,0.5075521367193726,0.5912260210727904,1
35,63509.899359219846,Medium,28,0.4599222981610668,0.8212715445557968,34,0.6245357592206211,0.7959397094269858,1
21,72536.6731405626,High,22,0.18426568066826715,0.7815292965640415,22,0.5030429961529236,0.6572963076731674,0
45,63729.75907933901,Medium,10,0.20246712423123014,0.6386048041057947,32,0.9576883746938069,0.7419672528475926,1
27,36196.01943808976,Low,4,0.20014249236924825,0.8452899415788403,32,0.9453395344587455,0.41157813639840174,0
29,81747.13651431928,High,29,0.26919055871844455,0.6626277726984314,40,0.4888550623560864,0.9378724900174769,1
44,76362.54572496367,High,16,0.6094303619245596,0.8366100839512812,26,1.0,0.6544793126945359,1
